================================================================================================================================
  X4 FORESIGHT v2 — COMPLETED STATION TRADES (with categorization)
================================================================================================================================
  1,246 commercial trades   proven=821  inferred=160  unknown=265
  by method: courier=821  unresolved=265  sector=76  delivery=59  visit=25
  (also 25 internal transfers, not shown here)

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  GX HQ  ·  576 trades   [v] 437   [~] 53   [?] 86
  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Time    Ship                             Dir Ware               Units     Cr/u       Total  Counterparty                            Source
  3h 09m  Ides Vanguard [NJW-864]          Out Energy Cells       7,400    16.34     120,916  PIO Factory Base 01 I (NVE-899)         [~] infer (delivery)
  3h 19m  SE [BHT-123]                     Out Advanced Electro     316  1318.00     416,488  ARG Argon Wharf (WQE-629)               [v] proven (courier)
  3h 20m  ARG Ides Vanguard [BLV-922]      Out Silicon Wafers       411   292.15     120,074  —                                       [?] unknown
  3h 28m  ARG Mercury Vanguard [OIY-560]   Out Silicon Wafers       455   291.06     132,432  —                                       [?] unknown
  3h 29m  Ides Vanguard [NJW-864]          Out Energy Cells       7,400    16.47     121,878  PIO Factory Base 01 I (NVE-899)         [~] infer (delivery)
  3h 29m  ANT Mercury Sentinel [MBY-522]   Out Silicon Wafers       546   264.77     144,564  —                                       [?] unknown
  3h 31m  Veles Sentinel [TDD-486]         Out Quantum Tubes        246   342.44      84,240  ANT Advanced Electronics Factory I (GN  [v] proven (courier)
  3h 34m  Okinawa [FDP-727]                Out Advanced Electro   1,400  1096.22   1,534,708  —                                       [?] unknown
  3h 41m  SE [BHT-123]                     Out Quantum Tubes        320   353.90     113,248  ANT Shield Component Factory I (KQQ-89  [v] proven (courier)
  3h 44m  ARG Mercury Vanguard [USW-418]   Out Superfluid Coola     512   125.07      64,036  —                                       [?] unknown
  3h 49m  ARG Mercury Vanguard [OIY-560]   Out Silicon Wafers       455   272.44     123,960  —                                       [?] unknown
  4h 00m  ANT Mercury Sentinel [MBY-522]   Out Silicon Wafers       546   289.38     158,001  —                                       [?] unknown
  4h 03m  SE [BHT-123]                     Out Quantum Tubes        431   301.54     129,964  ANT Field Coil Factory I (KZS-670)      [v] proven (courier)
  4h 04m  PIO Baldric [PMU-306]            Out Silicon Wafers       400   241.44      96,576  —                                       [?] unknown
  4h 10m  ARG Ides Vanguard [BLV-922]      Out Silicon Wafers       411   273.01     112,207  —                                       [?] unknown
  4h 11m  ARG Mercury Vanguard [OIY-560]   Out Silicon Wafers       455   335.05     152,448  —                                       [?] unknown
  4h 15m  Veles Sentinel [TDD-486]         Out Quantum Tubes         20   249.76       4,995  ANT Advanced Electronics Factory I (RK  [v] proven (courier)
  4h 22m  SE [BHT-123]                     Out Quantum Tubes        358   364.54     130,505  ANT Shield Component Factory II (PPF-1  [v] proven (courier)
  4h 25m  ARG Mercury Vanguard [OIY-560]   Out Silicon Wafers       455   248.57     113,099  —                                       [?] unknown
  4h 33m  ANT Mercury Sentinel [MBY-522]   Out Silicon Wafers       546   266.88     145,716  —                                       [?] unknown
  4h 49m  Veles Sentinel [TDD-486]         Out Superfluid Coola     330   131.45      43,378  ARG Quantum Tube Factory I (VAP-756)    [v] proven (courier)
  4h 57m  PIO Okinawa [XED-144]            Out Superfluid Coola   2,625   123.76     324,870  —                                       [?] unknown
  5h 12m  Okinawa [AVD-702]                Out Energy Cells      42,000    16.81     706,020  —                                       [?] unknown
  5h 16m  Okinawa [WCG-261]                Out Silicon Wafers     2,039   253.77     517,437  ANT Microchip Factory I (JQP-601)       [~] infer (delivery)
  5h 16m  Veles Sentinel [TDD-486]         Out Quantum Tubes         40   256.82      10,273  ANT Advanced Electronics Factory I (RK  [v] proven (courier)
  5h 43m  Veles Sentinel [TDD-486]         Out Silicon Wafers     2,400   234.83     563,592  ANT Microchip Factory II (KMB-864)      [v] proven (courier)
  5h 58m  Baldric [GPG-734]                Out Energy Cells      10,700    17.30     185,110  TER Factory Base 01 I (COX-780)         [~] infer (delivery)
  6h 05m  Veles Sentinel [TDD-486]         Out Superfluid Coola   2,700   118.53     320,031  ANT Plasma Conductor Factory I (BFL-68  [v] proven (courier)
  6h 07m  Frog [GFE-075]                   Out Energy Cells       4,120    17.08      70,370  ANT Agricultural Goods Factory I (JET-  [~] infer (delivery)
  6h 14m  ANT Mercury Sentinel [MBY-522]   Out Silicon Wafers       546   247.57     135,173  —                                       [?] unknown
  6h 19m  Frog [AWS-293]                   Out Energy Cells       4,120    17.18      70,782  PAR Graphene Refinery I (VBL-121)       [~] infer (delivery)
  6h 25m  Veles Sentinel [TDD-486]         Out Advanced Electro       9  1318.00      11,862  —                                       [?] unknown
  6h 31m  Baldric [QXO-170]                Out Energy Cells      10,700    17.14     183,398  —                                       [?] unknown
  6h 31m  Okinawa [GSQ-581]                Out Silicon Wafers       460   271.70     124,982  —                                       [?] unknown
  6h 34m  PIO Baldric [VMC-162]            Out Superfluid Coola     668   120.14      80,254  —                                       [?] unknown
  6h 37m  Baldric [DWW-150]                Out Silicon Wafers       594   251.20     149,213  —                                       [?] unknown
  6h 39m  ANT Mercury Sentinel [MBY-522]   Out Silicon Wafers       546   290.89     158,826  —                                       [?] unknown
  6h 39m  Veles Sentinel [TDD-486]         Out Advanced Electro     594  1311.43     778,989  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  6h 47m  Frog [AWS-293]                   Out Energy Cells       4,120    16.93      69,752  PAR Graphene Refinery I (VBL-121)       [~] infer (delivery)
  6h 51m  Baldric [MFA-383]                Out Energy Cells      10,700    16.75     179,225  —                                       [?] unknown
  6h 59m  Veles Sentinel [TDD-486]         Out Quantum Tubes        335   353.42     118,396  ANT Advanced Electronics Factory I (GN  [v] proven (courier)
  7h 05m  Frog [AWS-293]                   Out Energy Cells       4,120    17.19      70,823  PAR Graphene Refinery I (VBL-121)       [~] infer (delivery)
  7h 05m  PIO Baldric [UZK-443]            Out Silicon Wafers       594   292.32     173,638  —                                       [?] unknown
  7h 10m  ANT Mercury Sentinel [MBY-522]   Out Silicon Wafers       494   251.97     124,473  —                                       [?] unknown
  7h 12m  PIO Baldric [OHT-557]            Out Energy Cells      10,700    16.30     174,410  —                                       [?] unknown
  7h 12m  Frog [PQJ-912]                   Out Energy Cells       4,120    16.09      66,291  PIO Solar Power Plant I (TGO-087)       [~] infer (delivery)
  7h 24m  Veles Sentinel [TDD-486]         Out Quantum Tubes        100   280.86      28,086  ARG Advanced Electronics Factory I (HE  [v] proven (courier)
  7h 31m  PIO Baldric [UZK-443]            Out Silicon Wafers       594   294.33     174,832  —                                       [?] unknown
  7h 41m  Veles Sentinel [TDD-486]         Out Graphene           1,096   232.39     254,699  ANT Hull Part Factory III (VKD-147)     [v] proven (courier)
  7h 53m  Okinawa [XKX-118]                Out Silicon Wafers       600   210.94     126,564  —                                       [?] unknown
  7h 53m  Sonra Sentinel [RPL-442]         Out Advanced Electro     702  1265.73     888,542  ANT Argon Shipyard (YFU-370)            [~] infer (delivery)
  7h 57m  Okinawa [WCG-261]                Out Silicon Wafers     1,820   228.95     416,689  ANT Microchip Factory I (JQP-601)       [~] infer (delivery)
  7h 58m  Mercury Sentinel [CCW-713]       Out Energy Cells       9,840    16.61     163,442  —                                       [?] unknown
  7h 58m  Veles Sentinel [TDD-486]         Out Superfluid Coola   2,700   129.54     349,758  ANT Plasma Conductor Factory I (BFL-68  [v] proven (courier)
  8h 03m  PIO Baldric [CXH-558]            Out Energy Cells      10,700    16.58     177,406  —                                       [?] unknown
  8h 19m  ARG Mercury Sentinel [GLN-100]   Out Energy Cells       3,646    16.67      60,779  —                                       [?] unknown
  8h 22m  Veles Sentinel [TDD-486]         Out Superfluid Coola   2,700   133.28     359,856  ANT Plasma Conductor Factory I (BFL-68  [v] proven (courier)
  8h 41m  Veles Sentinel [TDD-486]         Out Energy Cells       3,680    18.36      67,565  ANT Agricultural Goods Factory I (BNU-  [v] proven (courier)
  8h 42m  PIO Baldric [ZBA-460]            Out Silicon Wafers       594   219.48     130,371  —                                       [?] unknown
  8h 47m  Okinawa [WCG-261]                Out Silicon Wafers     2,041   253.62     517,638  ANT Microchip Factory I (JQP-601)       [~] infer (delivery)
  8h 49m  Veles Sentinel [TDD-486]         Out Superfluid Coola     922   111.21     102,536  —                                       [?] unknown
  9h 02m  Veles Sentinel [TDD-486]         Out Advanced Electro     432  1318.00     569,376  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  9h 23m  Veles Sentinel [TDD-486]         Out Silicon Wafers     1,464   385.64     564,577  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  9h 47m  PIO Baldric [VMC-162]            Out Superfluid Coola     668   116.99      78,149  —                                       [?] unknown
  9h 54m  Okinawa [UHH-802]                Out Energy Cells      42,000    16.50     693,000  PIO Factory Base 01 I (RPE-992)         [~] infer (delivery)
  10h 03m Sonra Sentinel [RPL-442]         Out Advanced Electro     996  1225.26   1,220,359  ANT Argon Shipyard (YFU-370)            [~] infer (delivery)
  10h 13m PIO Baldric [GJJ-677]            Out Energy Cells      10,700    16.40     175,480  —                                       [?] unknown
  10h 14m Veles Sentinel [TDD-486]         Out Silicon Wafers     1,602   388.53     622,425  TEL Microchip Factory II (ZZA-122)      [v] proven (courier)
  10h 18m Ides Vanguard [WNP-362]          Out Superfluid Coola     390   126.56      49,358  ARG Quantum Tube Factory I (VAP-756)    [v] proven (courier)
  10h 29m Ides Vanguard [WNP-362]          Out Energy Cells       1,747    21.58      37,700  ANT Meat Factory I (PEU-839)            [v] proven (courier)
  10h 38m Ides Vanguard [WNP-362]          Out Energy Cells          50    19.00         950  ANT Argon Defence Platform (ONE-349)    [v] proven (courier)
  10h 38m Mercury Sentinel [VWB-834]       Out Superfluid Coola     495    91.61      45,347  TEL Plasma Conductor Factory I (CYE-59  [v] proven (courier)
  10h 43m Mercury Sentinel [VWB-834]       Out Superfluid Coola      60   100.82       6,049  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  10h 43m SE [UVJ-769]                     Out Superfluid Coola     593   129.05      76,527  ANT Plasma Conductor Factory I (BFL-68  [v] proven (courier)
  10h 45m Mercury Sentinel [VWB-834]       Out Superfluid Coola      60   100.82       6,049  TEL Quantum Tube Factory I (OHW-677)    [v] proven (courier)
  10h 45m Ides Vanguard [WNP-362]          Out Silicon Wafers       411   297.37     122,219  ARG Microchip Factory I (EFP-590)       [v] proven (courier)
  10h 48m PIO Baldric [PGU-988]            Out Superfluid Coola     668   129.65      86,606  —                                       [?] unknown
  10h 52m Veles Sentinel [TDD-486]         Out Energy Cells       3,060    17.65      54,009  ANT Silicon Refinery I (ZHQ-624)        [v] proven (courier)
  10h 58m SE [UVJ-769]                     Out Superfluid Coola     593   170.47     101,089  ARG Quantum Tube Factory I (VAP-756)    [v] proven (courier)
  10h 59m Ides Vanguard [WNP-362]          Out Silicon Wafers       411   371.22     152,571  TEL Microchip Factory IV (LWS-533)      [v] proven (courier)
  11h 07m SE [UVJ-769]                     Out Superfluid Coola     593   162.46      96,339  ARG Hull Part Factory VI (QWU-139)      [~] infer (delivery)
  11h 12m PIO Okinawa [QNG-348]            Out Silicon Wafers     1,703   281.03     478,594  —                                       [?] unknown
  11h 12m Mercury Sentinel [WYX-052]       Out Quantum Tubes        335   355.79     119,190  ANT Advanced Electronics Factory I (GN  [v] proven (courier)
  11h 13m Ides Vanguard [WNP-362]          Out Energy Cells       3,680    18.45      67,896  ANT Hull Part Factory II (XCV-961)      [v] proven (courier)
  11h 20m Ides Vanguard [WNP-362]          Out Energy Cells       3,990    19.06      76,049  ANT Agricultural Goods Factory I (BNU-  [v] proven (courier)
  11h 27m PIO Baldric [UYX-379]            Out Silicon Wafers       594   256.29     152,236  —                                       [?] unknown
  11h 28m Ides Vanguard [WNP-362]          Out Superfluid Coola     462   124.81      57,662  ANT Quantum Tube Factory I (GFZ-735)    [v] proven (courier)
  11h 29m Mercury Sentinel [WYX-052]       Out Superfluid Coola     615   122.66      75,436  —                                       [?] unknown
  11h 32m PIO Baldric [PJI-437]            Out Silicon Wafers       594   287.38     170,704  —                                       [?] unknown
  11h 33m SE [UVJ-769]                     Out Quantum Tubes        298   356.52     106,243  TEL Advanced Electronics Factory I (CY  [v] proven (courier)
  11h 37m Mercury Sentinel [VWB-834]       Out Superfluid Coola     615   140.41      86,352  ANT Quantum Tube Factory I (GFZ-735)    [v] proven (courier)
  11h 37m Ides Vanguard [WNP-362]          Out Advanced Electro     246  1318.00     324,228  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  11h 41m Mercury Sentinel [WYX-052]       Out Superfluid Coola     615   162.02      99,642  ANT Quantum Tube Factory I (GFZ-735)    [v] proven (courier)
  11h 44m ARG Ides Vanguard [PEN-510]      Out Silicon Wafers       411   285.04     117,151  —                                       [?] unknown
  11h 46m ANT Ides Sentinel [IMZ-064]      Out Superfluid Coola     555   106.96      59,363  —                                       [?] unknown
  11h 46m Mercury Sentinel [VWB-834]       Out Superfluid Coola     615   117.14      72,041  —                                       [?] unknown
  11h 48m Ides Vanguard [WNP-362]          Out Microchips            25  1017.14      25,428  ANT Advanced Electronics Factory I (TQ  [v] proven (courier)
  11h 50m Mercury Sentinel [WYX-052]       Out Superfluid Coola     615   125.78      77,355  —                                       [?] unknown
  11h 56m Mercury Sentinel [VWB-834]       Out Microchips            50   947.20      47,360  TEL Claytronics Factory I (PFJ-689)     [v] proven (courier)
  12h 00m Mercury Sentinel [WYX-052]       Out Energy Cells         960    17.81      17,098  ANT Meat Factory II (AJR-235)           [v] proven (courier)
  12h 01m SE [UVJ-769]                     Out Energy Cells       4,364    19.23      83,920  ANT Medical Supply Factory I (KRY-472)  [v] proven (courier)
  12h 06m Ides Vanguard [WNP-362]          Out Silicon Wafers       411   329.34     135,359  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  12h 10m Ides Vanguard [SCA-769]          Out Silicon Wafers       411   287.63     118,216  —                                       [?] unknown
  12h 14m Mercury Sentinel [WYX-052]       Out Quantum Tubes        351   356.67     125,191  ANT Advanced Electronics Factory I (TQ  [v] proven (courier)
  12h 15m SE [UVJ-769]                     Out Microchips            94  1019.43      95,826  ANT Advanced Electronics Factory I (TQ  [v] proven (courier)
  12h 16m PIO Baldric [YCX-302]            Out Superfluid Coola     668   144.24      96,352  —                                       [?] unknown
  12h 17m Mercury Sentinel [VWB-834]       Out Graphene             152   256.30      38,958  ANT Plasma Conductor Factory I (BFL-68  [v] proven (courier)
  12h 26m Mercury Sentinel [WYX-052]       Out Superfluid Coola     615   144.86      89,089  —                                       [?] unknown
  12h 27m Ides Vanguard [WNP-362]          Out Silicon Wafers       411   302.92     124,500  ANT Scanning Array Factory I (DOJ-956)  [v] proven (courier)
  12h 27m Mercury Sentinel [VWB-834]       Out Graphene             107   241.10      25,798  ARG Hull Part Factory I (QHB-659)       [v] proven (courier)
  12h 27m ARG Ides Vanguard [PEN-510]      Out Silicon Wafers       411   292.82     120,349  —                                       [?] unknown
  12h 34m PIO Baldric [DUY-777]            Out Superfluid Coola     668   140.23      93,674  —                                       [?] unknown
  12h 37m Mercury Sentinel [WYX-052]       Out Microchips            25  1013.94      25,348  ANT Advanced Electronics Factory I (TQ  [v] proven (courier)
  12h 41m Ides Vanguard [WNP-362]          Out Energy Cells       4,410    20.14      88,817  ANT Silicon Refinery I (ZHQ-624)        [v] proven (courier)
  12h 41m Mercury Sentinel [VWB-834]       Out Silicon Wafers       546   419.00     228,774  TEL Microchip Factory IV (LWS-533)      [v] proven (courier)
  12h 42m SE [UVJ-769]                     Out Microchips            17   986.31      16,767  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  12h 53m Ides Vanguard [WNP-362]          Out Advanced Electro     108  1318.00     142,344  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  12h 58m Mercury Sentinel [WYX-052]       Out Quantum Tubes        200   356.22      71,244  TEL Advanced Electronics Factory I (PI  [v] proven (courier)
  13h 01m Ides Vanguard [WNP-362]          Out Energy Cells       1,311    18.55      24,319  —                                       [?] unknown
  13h 02m Mercury Sentinel [VWB-834]       Out Silicon Wafers       546   419.00     228,774  TEL Microchip Factory IV (LWS-533)      [v] proven (courier)
  13h 06m SE [UVJ-769]                     Out Advanced Electro      54  1318.00      71,172  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  13h 13m Ides Vanguard [WNP-362]          Out Energy Cells       1,083    20.42      22,115  ANT Missile Component Factory I (IWM-5  [v] proven (courier)
  13h 16m Mercury Sentinel [WYX-052]       Out Energy Cells       1,200    19.23      23,076  ANT Meat Factory I (PEU-839)            [v] proven (courier)
  13h 17m PIO Baldric [UCD-241]            Out Silicon Wafers       540   291.73     157,534  —                                       [?] unknown
  13h 17m SE [UVJ-769]                     Out Advanced Electro      54  1318.00      71,172  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  13h 19m Mercury Sentinel [VWB-834]       Out Energy Cells       4,044    18.90      76,432  ANT Ice Refinery II (INL-760)           [v] proven (courier)
  13h 22m PIO Okinawa [VKQ-624]            Out Silicon Wafers     1,474   300.22     442,524  —                                       [?] unknown
  13h 26m Ides Vanguard [WNP-362]          Out Advanced Electro      54  1318.00      71,172  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  13h 32m Mercury Sentinel [WYX-052]       Out Energy Cells       3,017    19.07      57,534  ANT Hull Part Factory I (HIN-266)       [v] proven (courier)
  13h 32m Mercury Sentinel [VWB-834]       Out Energy Cells       1,120    18.78      21,034  ANT Meat Factory II (AJR-235)           [v] proven (courier)
  13h 37m SE [UVJ-769]                     Out Silicon Wafers       527   297.57     156,819  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  13h 45m Mercury Sentinel [VWB-834]       Out Advanced Electro     162  1318.00     213,516  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  13h 47m Ides Vanguard [WNP-362]          Out Silicon Wafers       411   306.23     125,861  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  13h 49m Mercury Sentinel [WYX-052]       Out Energy Cells       1,216    19.74      24,004  ANT Engine Part Factory III (SZH-351)   [v] proven (courier)
  13h 55m SE [UVJ-769]                     Out Energy Cells         513    19.46       9,983  ARG Weapon Component Factory I (MMV-07  [v] proven (courier)
  14h 01m Mercury Sentinel [VWB-834]       Out Silicon Wafers       546   320.36     174,917  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  14h 07m Ides Vanguard [WNP-362]          Out Silicon Wafers       411   328.86     135,161  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  14h 11m Mercury Sentinel [WYX-052]       Out Silicon Wafers       546   342.48     186,994  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  14h 15m Mercury Sentinel [VWB-834]       Out Energy Cells         534    19.79      10,568  ARG Weapon Component Factory II (LBJ-6  [v] proven (courier)
  14h 18m SE [UVJ-769]                     Out Energy Cells       1,920    20.42      39,206  ARG Spacefuel Factory I (VWX-278)       [v] proven (courier)
  14h 25m Ides Vanguard [WNP-362]          Out Advanced Electro      54  1341.73      72,453  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  14h 32m Mercury Sentinel [VWB-834]       Out Silicon Wafers       546   355.55     194,130  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  14h 35m Mercury Sentinel [WYX-052]       Out Energy Cells         888    20.71      18,390  ARG Advanced Electronics Factory I (HE  [v] proven (courier)
  14h 35m Ides Vanguard [WNP-362]          Out Advanced Electro      54  1340.41      72,382  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  14h 40m Ides Vanguard [WNP-362]          Out Advanced Electro      54  1313.96      70,954  —                                       [?] unknown
  14h 42m SE [UVJ-769]                     Out Silicon Wafers       527   360.17     189,810  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  14h 46m Ides Vanguard [WNP-362]          Out Advanced Electro      79  1338.86     105,770  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  14h 48m Mercury Sentinel [VWB-834]       Out Energy Cells         462    20.45       9,448  ANT Weapon Component Factory II (JFD-6  [v] proven (courier)
  15h 00m Ides Vanguard [WNP-362]          Out Advanced Electro     162  1336.15     216,456  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  15h 01m Mercury Sentinel [WYX-052]       Out Silicon Wafers       546   365.36     199,487  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  15h 01m SE [UVJ-769]                     Out Energy Cells       1,640    22.00      36,080  ARG Quantum Tube Factory I (VAP-756)    [v] proven (courier)
  15h 10m Mercury Sentinel [VWB-834]       Out Microchips           105  1031.33     108,290  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  15h 17m SE [UVJ-769]                     Out Energy Cells       1,986    20.78      41,269  ARG Hull Part Factory I (QHB-659)       [v] proven (courier)
  15h 21m Ides Vanguard [WNP-362]          Out Silicon Wafers       411   412.79     169,657  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  15h 23m Mercury Sentinel [WYX-052]       Out Silicon Wafers       546   416.96     227,660  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  15h 30m Mercury Sentinel [VWB-834]       Out Advanced Electro      85  1318.00     112,030  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  15h 36m SE [UVJ-769]                     Out Silicon Wafers       527   266.91     140,662  ANT Scanning Array Factory I (ARG-766)  [v] proven (courier)
  15h 36m PIO Baldric [OWC-458]            Out Silicon Wafers       594   297.61     176,780  —                                       [?] unknown
  15h 42m Mercury Sentinel [WYX-052]       Out Graphene              55   184.45      10,145  ANT Hull Part Factory II (XCV-961)      [v] proven (courier)
  15h 53m Mercury Sentinel [VWB-834]       Out Microchips           156  1014.19     158,214  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  15h 54m ARG Mokosi Sentinel [QYN-398]    Out Energy Cells      39,600    15.09     597,564  —                                       [?] unknown
  15h 54m SE [UVJ-769]                     Out Silicon Wafers       527   292.59     154,195  ARG Microchip Factory I (SYL-983)       [v] proven (courier)
  15h 57m Mercury Sentinel [WYX-052]       Out Energy Cells       2,000    19.41      38,820  ANT Scanning Array Factory I (DOJ-956)  [v] proven (courier)
  15h 58m PIO Baldric [KWD-073]            Out Silicon Wafers       594   286.71     170,306  —                                       [?] unknown
  15h 59m ARG Ides Vanguard [RDD-778]      Out Energy Cells       5,840    14.54      84,914  —                                       [?] unknown
  16h 11m Mercury Sentinel [VWB-834]       Out Advanced Electro     270  1318.00     355,860  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  16h 12m PIO Baldric [CVK-480]            In  Superfluid Coola     668   193.90     129,525  —                                       [?] unknown
  16h 14m Drill (Mineral) Sentinel [OJZ-62 Out Silicon            1,176   125.90     148,058  ANT Refined Goods Complex II (PYU-350)  [v] proven (courier)
  16h 15m Sonra Vanguard [QRL-363]         In  Superfluid Coola   1,812   169.09     306,391  —                                       [?] unknown
  16h 17m SE [UVJ-769]                     Out Silicon Wafers       527   298.00     157,046  ANT Scanning Array Factory I (DOJ-956)  [v] proven (courier)
  16h 19m ARG Ides Vanguard [RPV-099]      In  Superfluid Coola     462   208.00      96,096  —                                       [?] unknown
  16h 20m TEL Magpie Sentinel [SPK-770]    In  Quantum Tubes         20   375.00       7,500  —                                       [?] unknown
  16h 22m Hermes Vanguard [OCL-131]        In  Graphene             355   233.00      82,715  —                                       [?] unknown
  16h 23m Mercury Sentinel [WYX-052]       Out Silicon Wafers       546   306.52     167,360  ARG Microchip Factory I (SYL-983)       [v] proven (courier)
  16h 27m ARG Mercury Vanguard [KLE-136]   In  Superfluid Coola     512   211.00     108,032  —                                       [?] unknown
  16h 30m Mercury Sentinel [VWB-834]       Out Microchips           156  1060.61     165,455  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  16h 33m Kuraokami [NUW-574]              Out Silicon Wafers       594   267.77     159,055  —                                       [?] unknown
  16h 34m ARG Courier Vanguard [QJM-942]   In  Quantum Tubes         20   375.00       7,500  —                                       [?] unknown
  16h 39m TEL Magpie Sentinel [SPK-770]    In  Quantum Tubes         20   375.00       7,500  —                                       [?] unknown
  16h 47m Mercury Sentinel [VWB-834]       Out Silicon Wafers       546   267.24     145,913  —                                       [?] unknown
  16h 53m Mercury Sentinel [WYX-052]       Out Microchips           268  1053.58     282,359  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  16h 56m Mercury Sentinel [VWB-834]       Out Energy Cells         887    22.00      19,514  ARG Weapon Component Factory III (JRZ-  [v] proven (courier)
  16h 57m Kuraokami [NUW-574]              Out Silicon Wafers       594   292.32     173,638  —                                       [?] unknown
  16h 59m PIO Baldric [TZI-601]            In  Graphene             535   233.00     124,655  —                                       [?] unknown
  17h 04m TEL Magpie Sentinel [SPK-770]    In  Quantum Tubes         20   375.00       7,500  —                                       [?] unknown
  17h 06m Mercury Sentinel [VWB-834]       Out Advanced Electro     216  1318.00     284,688  ANT Argon Shipyard (YFU-370)            [v] proven (courier)
  17h 07m TEL Magpie Sentinel [SPK-770]    In  Quantum Tubes         20   375.00       7,500  —                                       [?] unknown
  17h 07m [0x1c7bd]                        Out Energy Cells         520    15.46       8,039  —                                       [?] unknown
  17h 17m [0x1c7bd]                        Out Energy Cells         247    22.00       5,434  —                                       [?] unknown
  17h 21m Mercury Sentinel [VWB-834]       Out Silicon Wafers       546   366.30     200,000  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  17h 25m Mercury Sentinel [WYX-052]       Out Silicon Wafers       546   415.17     226,683  TEL Scanning Array Factory I (WEN-308)  [v] proven (courier)
  17h 25m TEL Magpie Sentinel [ZOS-319]    In  Quantum Tubes         20   375.00       7,500  —                                       [?] unknown
  17h 28m TEL Magpie Sentinel [ZOS-319]    In  Quantum Tubes         80   375.00      30,000  —                                       [?] unknown
  17h 35m Drill (Mineral) Sentinel [OJZ-62 Out Silicon            1,176   120.79     142,049  ANT Refined Goods Complex II (PYU-350)  [v] proven (courier)
  17h 39m Mercury Sentinel [VWB-834]       Out Silicon Wafers       546   371.30     202,730  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  17h 46m Mercury Sentinel [WYX-052]       Out Silicon Wafers       546   284.59     155,386  —                                       [?] unknown
  17h 57m Mercury Sentinel [VWB-834]       Out Energy Cells       4,456    20.04      89,298  ANT Hull Part Factory II (WFF-475)      [v] proven (courier)
  18h 00m Mercury Sentinel [WYX-052]       Out Advanced Electro     216  1318.00     284,688  ANT Argon Wharf (BQZ-946)               [v] proven (courier)
  18h 04m PIO Baldric [ADC-435]            Out Silicon Wafers       594   289.55     171,993  —                                       [?] unknown
  18h 09m Mercury Sentinel [VWB-834]       Out Energy Cells       2,400    22.00      52,800  ANT Meat Factory II (AJR-235)           [v] proven (courier)
  18h 11m PIO Baldric [RWF-892]            Out Silicon Wafers       594   276.89     164,473  —                                       [?] unknown
  18h 20m Mercury Sentinel [WYX-052]       Out Silicon Wafers       546   355.25     193,966  ANT Microchip Factory I (DJD-474)       [v] proven (courier)
  18h 26m ANT Mercury Vanguard [MBX-985]   In  Quantum Tubes         20   375.00       7,500  —                                       [?] unknown
  18h 28m ANT Mercury Vanguard [MBX-985]   In  Quantum Tubes         60   375.00      22,500  —                                       [?] unknown
  18h 29m Mercury Sentinel [VWB-834]       Out Microchips           224  1028.85     230,462  TEL Claytronics Factory I (ESL-724)     [v] proven (courier)
  18h 41m Mercury Sentinel [WYX-052]       Out Silicon Wafers       546   309.92     169,216  ANT Scanning Array Factory I (DOJ-956)  [v] proven (courier)
  18h 44m PIO Baldric [ADC-435]            Out Silicon Wafers       594   310.46     184,413  —                                       [?] unknown
  18h 49m ANT Ides Sentinel [HLB-009]      Out Advanced Electro     216  1311.28     283,236  —                                       [?] unknown
